name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
cold deck cocktail,6,brandy,1 oz,brandy,1/2 oz,sweet vermouth,1 oz,white creme de menthe,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
the big crush,6,vodka,1 oz,raspberry-flavored vodka,1/2 oz,triple sec,1/2 oz,raspberry-flavored liqueur,1/2 oz,lime juice,,chilled champagne,,,"raspberry, blackberry",shake first four ingredients with ice. strain into chilled cocktail glass and top with champagne. garnish with berries.,cocktail glass,6
bianca,6,vodka,,,1 1/2 oz,citrus-flavored vodka,2 oz,pomegranate juice,1/4 oz,lime juice,1 oz,simple syrup,1 oz,lemon juice,"lemon twist, pomegranate seeds, sugar",rim chilled cocktail glass with lime and sugar. shake remaining ingredients with ice and strain into glass. garnish with a lemon twist and pomegranate seeds.,cocktail glass,6
bella fragolia,6,vodka,1 oz,strawberry,4 oz,basil leaves,2 oz,vodka,1 oz,lemon juice,1 oz,simple syrup,,soda water,"strawberry, basil","muddle chopped strawberry and 4 basil leaves in mixing glass. add vodka, lemon juice, and syrup with ice and shake well. double-strain into ice-filled old-fashioned glass and top with soda water. garnish with a strawberry and basil.",old-fashioned glass,6
beer buster,7,vodka,1 1/2 oz,vodka,,chilled beer or ale,2 oz,hot red pepper sauce,,,,,,,,pour vodka into highball glass and fill with beer or ale. add hot sauce and stir lightly.,highball glass,7
basil 8,14,vodka,3 oz,basil leaves,5 oz,white grapes,1 1/2 oz,vodka,3/4 oz,lime juice,1 oz,"each simple syrup, angostura bitters",,ginger ale,"basil, grape",muddle basil and 5 grapes in collins glass. add next four ingredients and stir. add ice and top with ginger ale. garnish with basil sprig and a white grape.,collins glass,14
shamrock cocktail,6,cocktail classics,1 1/2 oz,irish whiskey,1/2 oz,dry vermouth,1 oz,green creme de menthe,,,,,,,olive,stir with ice and strain into cocktail glass. garnish with an olive.,cocktail glass,6
aqueduct,6,vodka,1 1/2 oz,vodka,3/4 oz,lime juice,1/2 oz,white curacao or triple sec,1/2 oz,apricot-flavored brandy,,,,,orange twist,shake with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
scotch whisky highball,7,cocktail classics,2 oz,desmond & duff scotch whisky,,ginger ale,,,,,,,,,lemon twist,"put whisky in highball glass with ice cubes and fill with ginger ale or carbonated water. garnish with a lemon twist if desired, and stir.",highball glass,7
alfie cocktail,6,vodka,1 1/2 oz,lemon-flavored vodka,3/4 oz,pineapple juice,1/2 oz,triple sec,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
admiral perry,6,vodka,2 oz,pear-flavored vodka,1 oz,cinnamon schnapps,1 oz,dry vermouth,1 oz,white creme de cacao,,,,,pear slice,stir with ice and shake into chilled cocktail glass. garnish with a pear slice.,cocktail glass,6
yellow rose of texas,6,tequila,2 oz,blanco tequila,3/4 oz,lemon juice,1/2 oz,simple syrup,1/4 oz,yellow chartreuse,3 oz,rose water,,,,shake first four ingredients with ice and strain into chilled cocktail glass. top with rose water.,cocktail glass,6
st. patrick's day cocktail,14,cocktail classics,3/4 oz,green creme de menthe,3/4 oz,green chartreuse,3/4 oz,irish whiskey,1 oz,bitters,,,,,,stir with ice and strain into cocktail glass.,collins glass,14
purple twister,14,cocktail classics,2 oz,grape vodka,,cola,,lemon slice,,,,,,,lemon slice,"pour into collins glass over ice cubes. fill with cola. garnish with a lemon slice, and stir.",collins glass,14
waiting on summer,14,tequila,3 oz,cucumber,3 oz,sage leaves,1/2 oz,lime juice,1 1/2 oz,blanco tequila,3/4 oz,simple syrup,3 oz,ginger ale,strawberry,"muddle cucumber, sage, and lime juice in mixing glass. add tequila and syrup with ice and shake. double-strain into ice-filled collins glass. top with ginger ale. garnish with a strawberry.",collins glass,14
cognac highball,7,brandy,2 oz,cognac,,ginger ale or soda water,,,,,,,,,lemon twist,"pour cognac into ice-filled highball glass and fill with ginger ale or soda water. garnish with a lemon twist, if desired, and stir.",highball glass,7
prince's smile cocktail,6,cocktail classics,1/2 oz,apricot flavored brandy,1/2 oz,apple brandy,1 oz,dry gin,1/4 oz,lemon juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
viva villa,6,tequila,,,1 1/2 oz,blanco tequila,1 oz,lime juice,1/2 oz,simple syrup,,,,,,rim old-fashioned glass with lime and salt. fill with ice. shake remaining ingredients with ice and strain into glass.,old-fashioned glass,6
praire oyster cocktail,6,cordials and liqueurs,1 oz,five star brandy,1 oz,worcestershire sauce,1 oz,tomato catsup,1 oz,vinegar,1 oz,pepper,,,"egg yolk, cayenne pepper",shake with ice and strain into old-fashioned glass over two ice cubes. top with an unbroken egg yolk. add dash of cayenne pepper.,old-fashioned glass,6
praire chicken,10,cocktail classics,1 oz,dry gin,1 oz,whole egg,,,,,,,,,"egg yolk, salt, pepper",open egg without breaking the yolk and put in wine glass. top with gin. add pepper and salt.,white-wine glass,10
venial sin,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,mezcal,1/2 oz,yellow chartreuse,1/4 oz,elderflower liqueur,1/4 oz,maraschino liqueur,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
vagabundo,14,tequila,2 oz,reposado blanco tequila,1 1/2 oz,pineapple juice,1 1/2 oz,celery juice,1/2 oz,lime juice,,,,,lime slice,shake ingredients with ice. strain into ice-filled hurricane glass. garnish with a lime slice.,hurricane glass,14
the 21st century,6,tequila,splash,absinthe,1 oz,absinthe,1 1/2 oz,blanco tequila,3/4 oz,lime juice,3/4 oz,white creme de cacao,,,,swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. shake remaining ingredients with ice and strain into glass.,cocktail glass,6
pollyanna cocktail,6,cocktail classics,3 slices,orange peel,3 slices,pineapple,2 oz,dry gin,1/2 oz,sweet vermouth,1/2 tsp grenadine,,,,,"muddle oranges and pineapple with gin, vermouth, and grenadine.  shake with ice and strain into cocktail glass.",cocktail glass,6
toreador,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,dark creme de cacao,1/2 oz,half-and-half,,,,,,,"whipped cream, cocoa","shake with ice. strain into chilled cocktail glass. top with whipped cream, sprinkle with cocoa.",cocktail glass,6
pink squirrel cocktail,6,cocktail classics,1 oz,creme de noyaux,1 oz,white creme de cacao,1 oz,light sweet cream,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
pink lady cocktail,6,cocktail classics,1 oz,egg white,1 oz,grenadine,1 oz,sweet cream,1 1/2 oz,dry gin,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tijuana taxi,7,tequila,2 oz,gold tequila,1 oz,blue curacao,1 oz,tropical fruit schnapps,lemon-lime soda,,,,,,"orange slice, cherry",pour first three ingredients into ice-filled large highball glass. fill with lemon-lime soda. garnish with an orange slice and a cherry.,highball glass,7
tia juanathan,7,tequila,1 1/2 oz,blanco tequila,1/2 oz,lime juice,1/2 oz,aperol,1/2 oz,yellow chartreuse,,soda water,,,orange slice,shake first four ingredients with ice and strain into ice-filled highball glass. top with soda water. garnish with an orange slice.,highball glass,7
phoebe snow cocktail,6,cocktail classics,1 1/2 oz,dubonnet,1 1/2 oz,five star brandy,1/2 oz,absinthe substitute,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
tequonic,6,tequila,2 oz,blanco tequila,1/4 oz,lemon or lime juice,,tonic water,,,,,,,lime slice,"pour tequila into ice-filled old-fashioned glass. add juice, fill with tonic water, and stir. garnish with a lime slice",old-fashioned glass,6
tequini,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,dry vermouth,1 oz,angostura bitters,,,,,,,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
passion daiquiri cocktail,6,cocktail classics,1 1/2 oz,rum,1 oz,lime juice,1 oz,powdered sugar,1 oz,passion fruit juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
parisian blonde cocktail,6,cocktail classics,3/4 oz,sweet cream,3/4 oz,triple sec,3/4 oz,jamaica rum,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tequila sunrise,7,tequila,2 oz,blanco tequila,4 oz,orange juice,3/4 oz,grenadine,,,,,,,,"pour tequila and orange juice into ice-filled highball glass. stir and add ice. slowly pour in grenadine and allow to settle at glass bottom. before drinking, stir to create the ""sunrise""",highball glass,7
coffee grasshopper,6,brandy,3/4 oz,coffee-flavored brandy,3/4 oz,white creme de menthe,3/4 oz,half-and-half,,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6
tequila straight,1,tequila,1 oz,coarse salt,1 1/2 oz,blanco tequila,1 oz,lime wedge,,,,,,,"lime slice, salt","put salt between thumb and index finger on back of one hand. hold shot glass of tequila in same hand and lime slice in other hand. taste the salt, drink the tequila, and then suck the lime.",shot glass,1
tequila sour,2,tequila,2 oz,blanco tequila,3/4 oz,lemon juice,3/4 oz,simple syrup,,,,,,,"lemon slice, cherry",shake with ice and strain into chilled sour glass. garnish with a lemon slice and a cherry.,cordial or pony glass,2
tequila smash,6,tequila,4 oz,blueberries,4 oz,bing cherries,2 oz,blanco tequila,1/2 oz,maraschino liqueur,1/2 oz,lime juice,,,"lime slice, blueberry, cherry",muddle blueberries and cherries in mixing glass. add remaining ingredients and shake. double-strain into ice-filled old-fashioned glass. garnish with skewered fruit.,old-fashioned glass,6
tequila pink,6,tequila,1 1/2 oz,blanco tequila,1 oz,dry vermouth,1/4 oz,grenadine,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
tequila old-fashioned,6,tequila,1 1/2 oz,blanco tequila,1 oz,simple syrup,1 oz,angostura bitters,1 oz,soda water,,,,,lemon twist,"pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. add soda. garnish with a lemon twist.",old-fashioned glass,6
rob roy cocktail,6,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,desmond & duff scotch whisky,,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
tequila mockingbird,6,tequila,,,1/4 oz,minced ginger,1 3/4 oz,blanco tequila,1 1/2 oz,agave nectar,1 oz,lime juice,,,"lime slice, salt",rim one half of a chilled cocktail glass with lime and salt. muddle ginger in mixing glass. add remaining ingredients with ice and shake. strain into glass. garnish with a lime slice.,cocktail glass,6
tequila matador,6,tequila,1 1/2 oz,blanco tequila,2 oz,pineapple juice,1/2 oz,lime juice,,,,,,,,shake with ice and strain into chilled champagne flute.,champagne flute,6
tequila manhattan,6,tequila,2 oz,blanco tequila,1 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,cherry,shake with ice and strain into ice-filled old-fashioned glass. garnish with a cherry.,old-fashioned glass,6
t.n.t. cocktail,6,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
thunderclap cocktail,6,cocktail classics,3/4 oz,dry gin,3/4 oz,old thompson blended whiskey,3/4 oz,five star brandy,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
thunder cocktail,6,cocktail classics,1 oz,powdered sugar,1 oz,egg yolk,1 1/2 oz,five star brandy,1 oz,cayenne pepper,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tequila collins,14,tequila,2 oz,blanco tequila,1/2 oz,lemon juice,1/2 oz,simple syrup,soda water,,,,,,"lemon slice, orange slice, cherry","shake first three ingredients with ice and strain into chilled collins glass. add several ice cubes, fill with soda water, and stir. garnish with a lemon slice, an orange slice, and a cherry. serve with straw.",collins glass,14
white lady cocktail,6,cocktail classics,1 oz,egg white,1 oz,powdered sugar,1 oz,sweet cream,1 1/2 oz,dry gin,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tequila canyon,14,tequila,1 1/2 oz,blanco tequila,1/4 oz,triple sec,1 oz,cranberry juice,1 oz,pineapple juice,1 oz,orange juice,,,lime slice,pour into collins glass and stir. add ice. garnish with a lime slice. serve with straw.,collins glass,14
chicago cocktail,6,brandy,,,1 oz,brandy,1/2 oz,lemon juice,1/4 oz,orange curacao,1/4 oz,maraschino liqueur,,,sugar,rim chilled old-fashioned glass with lemon and sugar. stir remaining ingredients with ice and strain into glass.,old-fashioned glass,6
sunday confession,14,tequila,1 oz,blanco tequila,1 oz,limoncello,1/2 oz,lemon juice,ginger beer,,,,,,lemon slice,pour the first three ingredients into collins glass and stir briefly. add ice and top with ginger beer. garnish with a lemon slice.,collins glass,14
strawberry margarita,6,tequila,,,3 oz,strawberries,3/4 oz,strawberry schnapps,1 1/2 oz,blanco tequila,3/4 oz,triple sec,3/4 oz,lime juice,"strawberry, sugar","if desired, rim chilled cocktail glass with lime and sugar or salt. muddle strawberries with schnapps in mixing glass. add remaining ingredients and shake with ice. strain through fine wire sieve into glass. garnish with a strawberry.",cocktail glass,6
western rose cocktail,6,cocktail classics,1/2 oz,apricot flavored brandy,1 oz,dry gin,1/2 oz,dry vermouth,1/4 oz,lemon juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
widow's kiss cocktail,6,cocktail classics,1 oz,five star brandy,1/2 oz,yellow chartreuse,1/2 oz,benedictine,1 oz,peychaud bitters,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
spice of life,6,tequila,3 oz,cucumber,12,mint leaves,3/4 oz,simple syrup,2 oz,jalapeno-infused tequila,3/4 oz,lime juice,,,"cucumber, mint","muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. add tequila and lime juice with ice and shake. double-strain into ice-filled old-fashioned glass. garnish with a cucumber slice and mint sprig.",old-fashioned glass,6
widow's dream cocktail,6,cocktail classics,1 1/2 oz,benedictine,1 oz,whole egg,,,,,,,,,sweet cream,shake with ice and strain into cocktail glass. top with one teaspoon of sweet cream.,cocktail glass,6
vodka gypsy cocktail,6,cocktail classics,1 1/2 oz,vodka,3/4 oz,benedictine,1 oz,angostura bitters,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
south of the border,2,tequila,1 oz,blanco tequila,3/4 oz,coffee-flavored brandy,1/2 oz,lime juice,,,,,,,lime slice,shake with ice and strain into chilled sour glass. garnish with a lime slice.,cordial or pony glass,2
vodka grasshopper cocktail,6,cocktail classics,3/4 oz,vodka,3/4 oz,green creme de menthe,3/4 oz,white creme de cacao,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
violet fizz juice,7,cocktail classics,1/2 oz,lemon juice,1/2 oz,powdered sugar,1 1/2 oz,dry gin,1 oz,creme yvette,,,,,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7
smoked margarita,6,tequila,1/2 oz,"smoky scotch whisky, such as islay or skye",1 oz,reposado tequila,1 oz,triple sec,1/2 oz,lemon juice,1/2 oz,lime juice,,,lime slice,pour scotch into old-fashioned glass and swirl to coat. add ice. shake remaining ingredients with ice and strain into glass. garnish with a lime slice,old-fashioned glass,6
sloe tequila,6,shooters,1 oz,blanco tequila,1/2 oz,sloe gin,1/2 oz,lime juice,,,,,,,cucumber twist,combine ingredients with 1/2 cup crushed ice in blender on low speed. pour into old-fashioned glass. garnish with a cucumber twist.,old-fashioned glass,6
queen elizabeth cocktail,6,cocktail classics,1 1/2 oz,dry gin,1/2 oz,dry vermouth,1 1/2 oz,benedictine,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
silk stockings,6,tequila,1 1/2 oz,blanco tequila,1 oz,white creme de cacao,1 1/2 oz,heavy cream,1 oz,grenadine,,,,,,shake ingredients with ice and strain into chilled cocktail glass. top with cinnamon.,cocktail glass,6
orchid cocktail,6,cocktail classics,2 oz,dry gin,1 oz,egg white,1 oz,creme yvette,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
orange milk fizz,7,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,2 oz,orange flavored gin,2 oz,milk,,,,,,shake with ice and strain into highball glass over two cubes of ice. fill with carbonated water and stir.,highball glass,7
orange gin rickey,7,cocktail classics,1/2 oz,lime juice,2 oz,orange flavored gin,,,,,,,,,,pour into highball glass over ice cubes and fill with carbonated water. garnish with a lime slice. stir.,highball glass,7
orange gin highball,7,cocktail classics,2 oz,orange flavored gin,,ginger ale,,,,,,,,,lemon twist,"pour into highball glass over ice cubes and fill with ginger ale or carbonated water. garnish with a lemon twist, if desired, and stir.",highball glass,7
orange gin fizz,7,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,2 oz,orange flavored gin,,,,,,,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7
orange gin collins,14,cocktail classics,1/2 oz,lemon juice,2 oz,orange flavored gin,,,,,,,,,"lemon slice, orange slice, cherry","shake with ice and strain into collins glass. add several cubes of ice, fill with carbonated water and stir. garnish with a lemon slice and an orange slice and a cherry. serve with straws.",collins glass,14
sidewinder,14,tequila,1 1/2 oz,reposado tequila,1/2 oz,campari,1/2 oz,vanilla syrup,1/2 oz,lime juice,1/4 oz,mezcal,2 oz,ginger beer,mint,fill collins glass 1/2 full with crushed ice. add all ingredients. swizzle with barspoon until glass is frosted. fill to brim with additional ice. garnish with mint.,collins glass,14
orange blossom cocktail,6,cocktail classics,1 oz,dry gin,1 oz,orange juice,1/4 oz,powdered sugar,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
shady lady,7,tequila,1 oz,blanco tequila,1 oz,melon liqueur,4 oz,grapefruit juice,4 oz,grapefruit juice,,,,,"melon slice, cherry",combine all ingredients in ice-filled highball glass and stir. garnish with a lime slice and a melon slice or a cherry.,highball glass,7
cherry blossom,6,brandy,,,1 oz,brandy,1/2 oz,cherry-flavored brandy,1/2 oz,lemon juice,1/4 oz,triple sec,1/4 oz,grenadine,"cherry, sugar",rim chilled cocktail glass with brandy and sugar. shake ingredients with ice and strain into glass. garnish with a cherry.,cocktail glass,6
the sfozando,6,tequila,1 oz,mezcal,3/4 oz,rye whiskey,1/2 oz,dry vermouth,1/2 oz,benedictine,1 oz,chocolate bitters,,,orange twist,stir with ice and strain into cocktail glass. garnish with a orange twist.,cocktail glass,6
napoleon cocktail,6,cocktail classics,2 oz,dry gin,1/2 oz,curacao,1/2 oz,dubonnet,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
moulin rouge cocktail,6,cocktail classics,1 1/2 oz,sloe gin,3/4 oz,sweet vermouth,1 oz,bitters,,,,,,,,stir with ice and strain cocktail glass.,cocktail glass,6
sea of cortez,6,tequila,1 1/2 oz,blanco tequila,1 oz,lime juice,3/4 oz,creme de cassis,1/4 oz,orange curacao,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
satin sheets,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,falernum,1/2 oz,simple syrup,3/4 oz,lime juice,,,,,lime slice,shake with ice and strain into chilled cocktail glass. garnish with a lime slice.,cocktail glass,6
santana sling,14,tequila,1 1/2 oz,reposado tequila,1/2 oz,cherry heering,1/4 oz,batavia arrack or light rum,1/2 oz,lime juice,3 oz,ginger beer,,,,pour first four ingredients into ice-filled collins glass and stir. add ginger beer and stir again.,collins glass,14
rosita,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1/2 oz,campari,1 oz,angostura bitters,,,lemon twist,stir with ice. strain into ice-filled old-fashioned glass. garnish with a lemon twist.,old-fashioned glass,6
mariposa cocktail,6,cocktail classics,1 oz,rum,1/2 oz,five star brandy,1 oz,lemon juice,1 oz,orange juice,1 oz,grenadine,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
margarita cocktail,6,cocktail classics,1 1/2 oz,tequila,1/2 oz,triple sec,1 oz,lemon or lime juice,,,,,,,salt,"rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. shake ingredients with ice and strain into the salt-rimmed glass.",cocktail glass,6
the refuge,6,tequila,1 1/2 oz,blanco tequila,1/2 oz,aperol,1/4 oz,lime juice,1/4 oz,grapefruit juice,1/4 oz,agave nectar,,,,shake with ice. strain into chilled cocktail glass.,cocktail glass,6
manhattan cocktail (dry),6,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,old thompson blended whiskey,,,,,,,,,olive,stir with ice and strain into cocktail glass. garnish with an olive.,cocktail glass,6
mamie taylor,14,cocktail classics,1/2 oz,lime juice,2 oz,desmond & duff scotch whisky,,,,,,,,,,fill collins glass with ginger ale and ice. stir.,collins glass,14
quetzalcoatl,6,tequila,1 oz,blanco tequila,3/4 oz,mezcal,1/2 oz,creme de peche,1/2 oz,guava puree,1/2 oz,grapefruit juice,,,grapefruit twist,shake with ice and strain into cocktail glass. garnish with a grapefruit twist.,cocktail glass,6
zero mint,6,cocktail classics,2 oz,creme de menthe,,water,,,,,,,,,,for each serving chill 2 oz. creme de menthe (green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (does not have to be frozen solid.) serve in cocktail glasses.,cocktail glass,6
purple pancho,6,tequila,,,1 oz,blanco tequila,1/2 oz,blue curacao,1/2 oz,sloe gin,2 oz,lime juice,1 oz,"each lemon juice, simple syrup",lime slice,rim chilled cocktail or margarita glass with lime wedge and sugar. shake remaining ingredients with ice and pour with ice into glass. garnish with a lime slice,cocktail glass,6
midnight express,6,rum - daiquiris,1 1/2 oz,dark rum,1/2 oz,triple sec,3/4 oz,lime juice,1/4 oz,lemon juice,1/4 oz,simple syrup,,,,shake with ice and pour into ice-filled old-fashioned glass.,old-fashioned glass,6
london special cocktail,6,cocktail classics,,orange peel,,lump sugar,2 dashes,bitters,champagne,,,,,,,put a large orange twist into champagne glass. add 1 lump sugar and 2 dashes bitters. fill with well-chilled champagne and stir.,champagne flute,6
mary pickford cocktail,6,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,pineapple juice,1/4 oz,maraschino liqueur,1/4 oz,grenadine,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
charles cocktail,6,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
martinique rose,6,rum - daiquiris,2 oz,aged rhum agricole,1/2 oz,amaretto,3/4 oz,lime juice,3/4 oz,grapefruit juice,1/2 oz,orgeat or almond syrup,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
mariposa,6,rum - daiquiris,1 oz,light rum,1/2 oz,brandy,1/2 oz,lemon juice,1/2 oz,orange juice,1 oz,grenadine,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
mandeville,6,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,lemon juice,1 oz,anisette,1 oz,grenadine,cola,,,shake first five ingredients with ice and strain into ice-filled old fashioned glass. top with cola.,old-fashioned glass,6
k.c.b. cocktail,6,cocktail classics,1/2 oz,kummel,1 1/2 oz,dry gin,1/4 oz,apricot flavored brandy,1/4 oz,lemon juice,,,,,lemon twist,shake with ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
malmaison,6,rum - daiquiris,,anisette,1 oz,light rum,1/2 oz,cream sherry,1 oz,lemon juice,,,,,,rim chilled cocktail glass with anisette. shake remaining ingredients with ice. strain into glass.,cocktail glass,6
mai-tai (trader vic version),6,rum - daiquiris,2 oz,dark rum,1/2 oz,orange curacao,1 oz,lime juice (reserve 1/2 lime shell for garnish),1/2 oz,orgeat syrup,1/4 oz,rock candy syrup or simple syrup,,,"lime twist, mint, pineapple slice, cherry","shake ingredients without ice. strain into ice-filled old-fashioned glass. garnish with a lime twist, mint, and a skewered pineapple and cherry.",old-fashioned glass,6
jersey lightning cocktail,6,cocktail classics,1 1/2 oz,apple brandy,1/2 oz,sweet vermouth,1 oz,lime juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
lumination,6,rum - daiquiris,2 oz,ginger,1 oz,simple syrup,2 oz,dark rum,1 oz,vs cognac,1 oz,"each lemon juice, angostura bitters",,,lemon twist,muddle ginger in syrup in mixing glass. add remaining ingredients and ice and shake. strain into chilled champagne flute. garnish with a lemon twist.,champagne flute,6
jamaica glow cocktail,6,cocktail classics,1 oz,dry gin,1 oz,claret,1 oz,orange juice,1 oz,jamaica rum,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
lounge lizard,14,rum - daiquiris,1 oz,dark rum,1/2 oz,amaretto,,cola,,,,,,,lime slice,pour rum and amaretto into ice-filled collins glass. fill with cola and stir. garnish with a lime slice.,collins glass,14
jack-in-the-box cocktail,6,cocktail classics,1 oz,apple brandy,1 oz,pineapple juice,1 oz,bitters,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
irish whisky cocktail,6,cocktail classics,1/2 oz,triple sec,1/2 oz,absinthe substitute,1/4 oz,maraschino,1 oz,bitters,2 oz,irish whiskey,,,olive,stir with ice and strain into cocktail glass. garnish with an olive.,cocktail glass,6
look out below,6,rum - daiquiris,1 1/2 oz,151-proof rum,1/2 oz,lime juice,1/4 oz,grenadine,,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6
little princess cocktail,6,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,sweet vermouth,,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
little devil cocktail,6,rum - daiquiris,3/4 oz,light rum,3/4 oz,gin,1/2 oz,lemon juice,1/4 oz,triple sec,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
champs elysees cocktail,6,brandy,1 oz,brandy,1/2 oz,yellow chartreuse,1/2 oz,lemon juice,1 oz,simple syrup,1 oz,angostura bitters,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
hop toad cocktail,6,cocktail classics,1/2 oz,lime juice,3/4 oz,apricot flavored brandy,3/4 oz,rum,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
level headed cocktail,8,rum - daiquiris,1 1/2 oz,aged rhum agricole,1 oz,cold brewed coffee,1/2 oz,allspice liqueur (pimento dram),1/4 oz,simple syrup,2 oz,angostura bitters,,,,shake with ice and strain into snifter.,brandy snifter,8
la vita dulce,6,rum - daiquiris,1 1/2 oz,spiced rum,3/4 oz,mezcal,3/4 oz,lime juice,3/4 oz,simple syrup,,,,,cinnamon,shake with ice and strain into chilled cocktail glass. top with cinnamon.,cocktail glass,6
hole-in-one cocktail,6,cocktail classics,1 3/4 oz,desmond & duff scotch whisky,3/4 oz,dry vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
ko adang,14,rum - daiquiris,2 oz,dark rum,1 oz,coconut rum,1/2 oz,ginger liqueur,1/2 oz,mango nectar,1/2 oz,cream of coconut,1/2 oz,lime juice,lime slice,shake with ice and strain into ice-filled collins glass. garnish with a lime slice.,collins glass,14
knickerbocker special cocktail,6,rum - daiquiris,2 oz,light rum,1/2 oz,triple sec,1 oz,lemon juice,1 oz,orange juice,1 oz,raspberry syrup,,,pineapple slice,shake with ice and strain into chilled cocktail glass. garnish with a pineapple slice.,cocktail glass,6
hair raiser cocktail,6,cocktail classics,1 1/2 oz,100 proof vodka,1/2 oz,rock and rye,1 oz,lemon juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
green opal cocktail,6,cocktail classics,1/2 oz,dry gin,1/2 oz,anisette,1 oz,absinthe substitute,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
jamaican ginger,14,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,falernum,1/2 oz,lime juice,4 oz,angostura bitters,,ginger ale,lime slice,stir first five ingredients in ice-filled collins glass. top with ginger ale. garnish with a lime slice.,collins glass,14
